date,state,positive
20201019,K,0
20201019,W,3
20201019,I,0
20201019,X,1
20201019,N,31
20201019,Z,5
20201019,F,6
20201019,H,7
20201019,G,3
20201019,BD,15
20201019,M,310
20201019,AB,96
20201019,D,0
20201019,C,45
20201019,S,0
20201019,AC,0
20201019,Y,1
20201019,U,7
20201019,O,78
20201019,T,41
20201018,E,27
20201018,K,0
20201018,W,1
20201018,I,0
20201018,X,1
20201018,N,5
20201018,Z,0
20201018,F,54
20201018,H,3
20201018,G,2
20201018,BD,5
20201018,M,11
20201018,AB,63
20201018,D,0
20201018,C,56
20201018,S,4
20201018,AC,3
20201018,Y,0
20201018,U,0
20201018,O,41
20201018,T,34
20201018,E,38
20201017,K,9
20201017,W,32
20201017,I,1
20201017,X,9
20201017,N,1
20201017,Z,6
20201017,F,7
20201017,H,8
20201017,G,33
20201017,BD,20
20201017,M,13
20201017,AB,271
20201017,D,21
20201017,C,30
20201017,S,22
20201017,AC,6
20201017,Y,7
20201017,U,10
20201017,O,76
20201017,T,64
20201017,E,52
20201016,K,5
20201016,W,27
20201016,I,6
20201016,X,15
20201016,N,29
20201016,Z,10
20201016,F,53
20201016,H,8
20201016,G,18
20201016,BD,21
20201016,M,166
20201016,AB,342
20201016,D,16
20201016,C,89
20201016,S,12
20201016,AC,20
20201016,Y,11
20201016,U,19
20201016,O,206
20201016,T,55
20201016,E,52
20201015,K,8
20201015,W,24
20201015,I,0
20201015,X,12
20201015,N,6
20201015,Z,27
20201015,F,44
20201015,H,5
20201015,G,25
20201015,BD,30
20201015,M,115
20201015,AB,282
20201015,D,26
20201015,C,64
20201015,S,13
20201015,AC,5
20201015,Y,7
20201015,U,30
20201015,O,93
20201015,T,41
20201015,E,49
20201014,K,1
20201014,W,38
20201014,I,0
20201014,X,6
20201014,N,44
20201014,Z,8
20201014,F,45
20201014,H,8
20201014,G,19
20201014,BD,5
20201014,M,132
20201014,AB,319
20201014,D,15
20201014,C,30
20201014,S,21
20201014,AC,12
20201014,Y,2
20201014,U,16
20201014,O,153
20201014,T,53
20201014,E,42
20201013,K,7
20201013,W,10
20201013,I,2
20201013,X,18
20201013,N,16
20201013,Z,18
20201013,F,72
20201013,H,4
20201013,G,22
20201013,BD,9
20201013,M,76
20201013,AB,293
20201013,D,21
20201013,C,61
20201013,S,4
20201013,AC,4
20201013,Y,12
20201013,U,36
20201013,O,101
20201013,T,45
20201013,E,85
20201012,K,1
20201012,W,30
20201012,I,5
20201012,X,0
20201012,N,36
20201012,Z,37
20201012,F,0
20201012,H,1
20201012,G,2
20201012,BD,3
20201012,M,120
20201012,AB,90
20201012,D,0
20201012,C,173
20201012,S,4
20201012,AC,0
20201012,Y,2
20201012,U,9
20201012,O,38
20201012,T,40
20201012,E,46
20201011,K,1
20201011,W,0
20201011,I,0
20201011,X,0
20201011,N,4
20201011,Z,2
20201011,F,6
20201011,H,2
20201011,G,0
20201011,BD,1
20201011,M,1
20201011,AB,72
20201011,D,0
20201011,C,8
20201011,S,2
20201011,AC,4
20201011,Y,0
20201011,U,0
20201011,O,13
20201011,T,36
20201011,E,9
20201010,K,15
20201010,W,15
20201010,I,5
20201010,X,14
20201010,N,2
20201010,Z,3
20201010,F,33
20201010,H,5
20201010,G,12
20201010,BD,4
20201010,M,9
20201010,AB,192
20201010,D,16
20201010,C,8
20201010,S,9
20201010,AC,8
20201010,Y,11
20201010,U,28
20201010,O,66
20201010,T,38
20201010,E,16
20201009,K,3
20201009,W,13
20201009,I,4
20201009,X,17
20201009,N,22
20201009,Z,42
20201009,F,49
20201009,H,4
20201009,G,8
20201009,BD,38
20201009,M,62
20201009,AB,292
20201009,D,7
20201009,C,8
20201009,S,6
20201009,AC,14
20201009,Y,2
20201009,U,24
20201009,O,101
20201009,T,33
20201009,E,34
20201008,K,23
20201008,W,16
20201008,I,2
20201008,X,4
20201008,N,26
20201008,Z,20
20201008,F,41
20201008,H,0
20201008,G,14
20201008,BD,12
20201008,M,86
20201008,AB,309
20201008,D,17
20201008,C,51
20201008,S,4
20201008,AC,14
20201008,Y,8
20201008,U,6
20201008,O,90
20201008,T,61
20201008,E,32
20201007,K,4
20201007,W,32
20201007,I,1
20201007,X,18
20201007,N,30
20201007,Z,12
20201007,F,39
20201007,H,7
20201007,G,22
20201007,BD,19
20201007,M,73
20201007,AB,270
20201007,D,4
20201007,C,67
20201007,S,9
20201007,AC,17
20201007,Y,12
20201007,U,21
20201007,O,137
20201007,T,28
20201007,E,9
20201006,K,14
20201006,W,7
20201006,I,2
20201006,X,26
20201006,N,40
20201006,Z,31
20201006,F,26
20201006,H,3
20201006,G,12
20201006,BD,9
20201006,M,31
20201006,AB,297
20201006,D,10
20201006,C,104
20201006,S,3
20201006,AC,1
20201006,Y,3
20201006,U,23
20201006,O,96
20201006,T,37
20201006,E,11
20201005,K,2
20201005,W,1
20201005,I,1
20201005,X,0
20201005,N,31
20201005,Z,14
20201005,F,4
20201005,H,0
