date,state,positive
2020-04-23,Stockholm,98
2020-04-22,Stockholm,292
2020-04-21,Stockholm,163
2020-04-20,Stockholm,211
2020-04-19,Stockholm,192
2020-04-18,Stockholm,179
2020-04-17,Stockholm,221
2020-04-16,Stockholm,221
2020-04-15,Stockholm,215
2020-04-14,Stockholm,180
2020-04-13,Stockholm,200
2020-04-12,Stockholm,182
2020-04-11,Stockholm,200
2020-04-10,Stockholm,148
2020-04-09,Stockholm,240
2020-04-08,Stockholm,271
2020-04-07,Stockholm,243
2020-04-06,Stockholm,131
2020-04-05,Stockholm,172
2020-04-04,Stockholm,129
2020-04-03,Stockholm,246
2020-04-02,Stockholm,218
2020-04-01,Stockholm,205
2020-03-31,Stockholm,209
2020-03-30,Stockholm,171
2020-03-29,Stockholm,150
2020-03-28,Stockholm,147
2020-03-27,Stockholm,176
2020-03-26,Stockholm,132
2020-03-25,Stockholm,154
2020-03-24,Stockholm,105
2020-03-23,Stockholm,99
2020-03-22,Stockholm,59
2020-03-21,Stockholm,71
2020-03-20,Stockholm,84
2020-03-19,Stockholm,66
2020-03-18,Stockholm,58
2020-03-17,Stockholm,35
2020-03-16,Stockholm,34
2020-03-15,Stockholm,17
2020-03-14,Stockholm,18
2020-03-13,Stockholm,31
2020-03-12,Stockholm,42
2020-03-11,Stockholm,32
2020-03-10,Stockholm,26
2020-03-09,Stockholm,64
2020-03-08,Stockholm,29
2020-03-07,Stockholm,21
2020-03-06,Stockholm,36
2020-03-05,Stockholm,22
2020-03-04,Stockholm,21
2020-03-03,Stockholm,10
2020-03-02,Stockholm,1
2020-03-01,Stockholm,0
2020-02-29,Stockholm,1
2020-02-28,Stockholm,2
2020-02-27,Stockholm,1
2020-02-26,Stockholm,0
2020-02-25,Stockholm,0
2020-02-24,Stockholm,0
2020-02-23,Stockholm,0
2020-02-22,Stockholm,0
2020-02-21,Stockholm,0
2020-02-20,Stockholm,0
2020-02-19,Stockholm,0
2020-02-18,Stockholm,0
2020-02-17,Stockholm,0
2020-02-16,Stockholm,0
2020-02-15,Stockholm,0
2020-02-14,Stockholm,0
2020-02-13,Stockholm,0
2020-02-12,Stockholm,0
2020-02-11,Stockholm,0
2020-02-10,Stockholm,0
2020-02-09,Stockholm,0
2020-02-08,Stockholm,0
2020-02-07,Stockholm,0
2020-02-06,Stockholm,0
2020-02-05,Stockholm,0
2020-02-04,Stockholm,0
